usia		kelompok
26        		Dewasa              
24        		Dewasa              
63        		Tua                 
46        		Dewasa              
63        		Tua                 
44        		Dewasa              
13        		Remaja              
30        		Dewasa              
59        		Tua                 
61        		Tua                 
4         		Balita              
36        		Dewasa              
63        		Tua                 
29        		Dewasa              
68        		Tua                 
50        		Dewasa              
12        		Remaja              
61        		Tua                 
80        		Tua                 
53        		Dewasa              
39        		Dewasa              
56        		Tua                 
68        		Tua                 
22        		Pemuda              
56        		Tua                 
70        		Tua                 
49        		Dewasa              
53        		Dewasa              
55        		Tua                 
26        		Dewasa              
21        		Pemuda              
19        		Pemuda              
9         		Anak-Anak           
72        		Tua                 
53        		Dewasa              
66        		Tua                 
68        		Tua                 
70        		Tua                 
54        		Dewasa              
49        		Dewasa              
38        		Dewasa              
53        		Dewasa              
47        		Dewasa              
13        		Remaja              
55        		Tua                 
37        		Dewasa              
35        		Dewasa              
14        		Remaja              
17        		Pemuda              
74        		Tua                 
48        		Dewasa              
46        		Dewasa              
47        		Dewasa              
12        		Remaja              
45        		Dewasa              
14        		Remaja              
29        		Dewasa              
32        		Dewasa              
10        		Anak-Anak           
78        		Tua                 
15        		Remaja              
58        		Tua                 
31        		Dewasa              
70        		Tua                 
22        		Pemuda              
3         		Balita              
80        		Tua                 
25        		Dewasa              
41        		Dewasa              
72        		Tua                 
34        		Dewasa              
68        		Tua                 
42        		Dewasa              
3         		Balita              
1         		Balita              
19        		Pemuda              
25        		Dewasa              
52        		Dewasa              
23        		Pemuda              
25        		Dewasa              
64        		Tua                 
35        		Dewasa              
54        		Dewasa              
79        		Tua                 
51        		Dewasa              
34        		Dewasa              
51        		Dewasa              
48        		Dewasa              
49        		Dewasa              
10        		Anak-Anak           
31        		Dewasa              
67        		Tua                 
60        		Tua                 
44        		Dewasa              
34        		Dewasa              
60        		Tua                 
45        		Dewasa              
39        		Dewasa              
28        		Dewasa              
75        		Tua                 
